title,company,location,link
Native Korean Speaking Software QA Test Engineer,TikTok,서울 여의도역,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0q_4HZNedqx8Q9MMwHxoeg7NU6YlY4T5tkga_H_zxaWOAqB34UCxinBB41CMMixv7K7v68ehXnDU0MRiTTeDO73mJgrHZz60EVksOa-rNeZrQHL71nG0ue-imvio9IrdS_ljDOUirHtXYzzr99PoK9nVAJhqlgsJAYvRfx8mbXxYuwWM7liRafInbUAssKv6ZL5q1EqC375xW2icwSsZkDMzO7__BFeBgp5Nz2Oygv8_sz8ZxIkN8OeZobg7Odb44NjwE4sP3a7SfwFjUWkDFwU0A4YtOSgF03B8tU7Lc0UWJqLjy8Dkq2bRwLwKKGZokvo7C56TjAX78EqQTXMeU0bIfl74BiNkjttgEBmpuF7TCMH8eNZVfGZsm3mD1fmAri-IZD3eLhIKpenx3YRUZZf2MFi48FUBOlCIStcgf19o_xHY4NkvwwdATSG7Z-fhSWXiqTRiSv2fzGDiUkzgf&p=0&fvj=1&vjs=3
Deep Learning R&D Engineer,Intel,서울,https://www.indeed.com/rc/clk?jk=e4f1914b34f03ca2&fccid=f1374be6a45f4b8a&vjs=3
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://www.indeed.com/rc/clk?jk=55584c627df1acaa&fccid=ebcd554962f400ec&vjs=3
[개발]CI/CD 엔지니어(정규직),위메프,대한민국,https://www.indeed.com/rc/clk?jk=3d0cc83899a9b37f&fccid=2f8799a5ef214646&vjs=3
[ 아이콘트롤스 ] 2020년 경력 직원 (기술연구소) 연구개발부문,HDC아이콘트롤스,성남 분당구,https://www.indeed.com/rc/clk?jk=7385b69da2c8d6cf&fccid=9c334df5513649f0&vjs=3
퀀트 개발자 (Quant Developer),ATZ Inc.,서울,https://www.indeed.com/company/ATZ/jobs/%ED%80%80%ED%8A%B8-%EA%B0%9C%EB%B0%9C%EC%9E%90-27ea6faf6a8516fd?fccid=54c84e9e653ca7ce&vjs=3
"Python, JAVA 외 신입/경력 정규직, 계약직, 프리랜서 외",블루닷,서울 강남구,https://www.indeed.com/rc/clk?jk=d2603c1cfe3f3d27&fccid=c08b3b2047a47dc0&vjs=3
[보안]위메프 보안솔루션 엔지니어(정규직),위메프,대한민국,https://www.indeed.com/rc/clk?jk=cdefe6c51536897a&fccid=2f8799a5ef214646&vjs=3
데이터분석 솔루션 개발자 (python),비아이매트릭스,서울 강남구,https://www.indeed.com/rc/clk?jk=c61242aebac1602b&fccid=f3fcdbdd85f462a6&vjs=3
Associate,주식회사 지니얼로지,서울,https://www.indeed.com/company/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC-%EC%A7%80%EB%8B%88%EC%96%BC%EB%A1%9C%EC%A7%80/jobs/Associate-115f62e82db4dace?fccid=6ed774dd4cce82b4&vjs=3
Deep Learning Engineer Intern,Intel,서울,https://www.indeed.com/rc/clk?jk=ae775fd3698cfd07&fccid=f1374be6a45f4b8a&vjs=3
AI/ NLP 개발자(Python/JAVA) (전문연구요원 병역특례 가능),엔에이치엔다이퀘스트,서울 구로구,https://www.indeed.com/rc/clk?jk=b861e113e1b79442&fccid=18200a8709742372&vjs=3
"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장,서울 강남구,https://www.indeed.com/rc/clk?jk=e0bd768490336a11&fccid=e2de27f0ee2dc0b4&vjs=3
이커머스팀 데이터 분석가(Data Analytics),에프알엘코리아,서울 송파구,https://www.indeed.com/rc/clk?jk=f654e4bfb82a0e74&fccid=d243fdbdbf1fb2b1&vjs=3
Field Application Engineer,ASML,대한민국,https://www.indeed.com/rc/clk?jk=2060288a225857d3&fccid=57ed5f0210b0681a&vjs=3
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://www.indeed.com/rc/clk?jk=fb617eeb80ea6fa9&fccid=6c9206aa5a609175&vjs=3
"백앤드개발자 (Python, Open CV 가능자 우대)",티디랩,성남 중원구,https://www.indeed.com/rc/clk?jk=817b24b9fec9b7be&fccid=7ce5b69fc0d518f2&vjs=3
Quantitative Researcher,자산운용: Quantitative Research,서울,https://www.indeed.com/company/Aims-International/jobs/Quantitative-Researcher-7453bfdc26273cd9?fccid=def328ffc9620ff6&vjs=3
[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직),위메프,대한민국,https://www.indeed.com/rc/clk?jk=ab8b221932fe27ef&fccid=2f8799a5ef214646&vjs=3
솔루션 개발자,고도소프트,서울 구로구,https://www.indeed.com/rc/clk?jk=ce97cc7e1904d7ff&fccid=f2b5a2a21d1b60eb&vjs=3
백엔드 개발자,RippleAI,서울 관악구,https://www.indeed.com/company/RippleAI/jobs/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-3715424cbfe0e064?fccid=6dc13fbf0488bbe7&vjs=3
"O2O 플랫폼 백엔드 개발자 (Ruby, Node.JS, Python) 경력직",로보트리,서울 강남구,https://www.indeed.com/rc/clk?jk=f9bb0fa3070eabd1&fccid=2217c89469c6e5f6&vjs=3
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://www.indeed.com/rc/clk?jk=52f8fb3f7e662c5d&fccid=b1f5de6cae96f6c2&vjs=3
